07.1	polkupyörä	2,00	2,00	2,00	2,00	4,00	15,00	2,00	2,00	2,00	2,00	4,00	15,00	2,00	2,00	2,00	2,00	4,00	15,00	2,00	2,00	2,00	2,00	4,00	15,00	2,00	2,00	2,00	2,00	4,00	15,00	2,00	2,00	2,00	2,00	4,00	15,00
07.1	auton hankinta						246,64						246,64						246,64						246,64						246,64						246,64
07.1	auton ruoste-esto						7,96						7,96						7,96						7,96						7,96						7,96
07.2	auton säilytys						20,90						20,90						20,90						20,90						20,90						20,90
07.2	polttoaine autoon						140,72						140,72						140,72						140,72						140,72						140,72
07.2	voiteluaine autoon						7,13						7,13						7,13						7,13						7,13						7,13
07.2	auton rengaskulut						11,28						11,28						11,28						11,28						11,28						11,28
07.2	auton huolto- ja korjauskulut						54,74						54,74						54,74						54,74						54,74						54,74
07.3	vierailut	4,17	4,17	4,17	4,17	4,17	6,25	4,17	4,17	4,17	4,17	4,17	6,25	4,17	4,17	4,17	4,17	4,17	6,25	4,17	4,17	4,17	4,17	4,17	6,25	4,17	4,17	4,17	4,17	4,17	6,25	4,17	4,17	4,17	4,17	4,17	6,25
07.3	koulun retket	0,00	0,00	0,00	0,00	0,00	0,83	0,00	0,00	0,00	0,00	0,00	0,83	0,00	0,00	0,00	0,00	0,00	0,83	0,00	0,00	0,00	0,00	0,00	0,83	0,00	0,00	0,00	0,00	0,00	0,83	0,00	0,00	0,00	0,00	0,00	0,83
07.3	kuukausilippu	43,00	43,00	43,00	43,00	86,00	108,00	89,00	89,00	89,00	89,00	178,00	178,00	70,00	70,00	70,00	70,00	140,00	175,00	70,00	70,00	70,00	70,00	140,00	175,00	70,00	70,00	70,00	70,00	140,00	175,00	70,00	70,00	70,00	70,00	140,00	175,00
08.3	tietoliikennemaksut	81,00	81,00	81,00	81,00	101,00	111,00	81,00	81,00	81,00	81,00	101,00	111,00	81,00	81,00	81,00	81,00	101,00	111,00	81,00	81,00	81,00	81,00	101,00	111,00	81,00	81,00	81,00	81,00	101,00	111,00	81,00	81,00	81,00	81,00	101,00	111,00
08.3	postimerkit, kortit	2,50	2,50	5,00	5,00	2,50	5,00	2,50	2,50	5,00	5,00	2,50	5,00	2,50	2,50	5,00	5,00	2,50	5,00	2,50	2,50	5,00	5,00	2,50	5,00	2,50	2,50	5,00	5,00	2,50	5,00	2,50	2,50	5,00	5,00	2,50	5,00
09.1	tietoliikennelaitteet	18,00	18,00	18,00	18,00	19,00	21,00	18,00	18,00	18,00	18,00	19,00	21,00	18,00	18,00	18,00	18,00	19,00	21,00	18,00	18,00	18,00	18,00	19,00	21,00	18,00	18,00	18,00	18,00	19,00	21,00	18,00	18,00	18,00	18,00	19,00	21,00
09.2	sisäliikuntavarusteet	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25
09.2	ulkoliikuntavarusteet	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25
09.2	lelut	0,00	0,00	0,00	0,00	0,00	6,67	0,00	0,00	0,00	0,00	0,00	6,67	0,00	0,00	0,00	0,00	0,00	6,67	0,00	0,00	0,00	0,00	0,00	6,67	0,00	0,00	0,00	0,00	0,00	6,67	0,00	0,00	0,00	0,00	0,00	6,67
09.4	kulttuuriharrastus	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25	2,08	2,08	2,08	2,08	4,17	6,25
09.5	paperi-, pakkaus- yms. tarvikkeet	7,50	7,50	7,58	7,58	11,25	17,92	7,50	7,50	7,58	7,58	11,25	17,92	7,50	7,50	7,58	7,58	11,25	17,92	7,50	7,50	7,58	7,58	11,25	17,92	7,50	7,50	7,58	7,58	11,25	17,92	7,50	7,50	7,58	7,58	11,25	17,92
09.5	paperit, kynät ym.	0,52	0,52	1,18	1,18	1,18	1,70	0,52	0,52	1,18	1,18	1,18	1,70	0,52	0,52	1,18	1,18	1,18	1,70	0,52	0,52	1,18	1,18	1,18	1,70	0,52	0,52	1,18	1,18	1,18	1,70	0,52	0,52	1,18	1,18	1,18	1,70
